alcohol,volatile acidity,sulphates,density,chlorides
9.6,0.775,0.51,0.9976,0.079
10.0,0.835,0.52,0.99608,0.166
12.6,0.58,0.66,0.99387,0.069
9.5,0.5,0.45,0.99448,0.057
9.5,0.5,0.45,0.99448,0.057
9.5,0.5,0.45,0.99448,0.057
10.5,0.51,0.54,0.99538,0.084
10.5,0.51,0.54,0.99538,0.084
10.5,0.51,0.54,0.99538,0.084
10.4,0.54,0.51,0.99589,0.085
10.5,0.51,0.54,0.99538,0.084
11.0,0.42,0.53,0.99852,0.077
10.2,0.44,0.53,0.99613,0.063
11.4,0.59,0.56,0.99472,0.056
9.5,0.655,0.39,0.99587,0.078
9.5,0.655,0.39,0.99587,0.078
10.8,0.57,0.52,0.99518,0.081
10.0,0.6,0.57,0.99654,0.069
11.8,0.62,0.51,0.99332,0.065
10.3,0.645,0.46,0.9969,0.086
10.3,0.645,0.46,0.9969,0.086
10.0,0.58,0.52,0.99568,0.077
10.1,0.32,0.44,0.99464,0.086
10.1,0.34,0.44,0.99464,0.084
11.1,0.43,0.59,0.99648,0.078
9.5,0.64,0.5,0.99736,0.168
10.0333333333333,0.475,0.65,0.99704,0.091
10.9,0.54,0.56,0.99699,0.112
10.1,0.85,0.54,0.99724,0.093
10.0333333333333,0.475,0.65,0.99704,0.091
9.8,0.83,0.48,0.99652,0.08
11.8,0.605,0.53,0.995,0.096
9.5,0.5,0.62,0.9971,0.115
9.8,0.74,0.5,0.99576,0.094
10.5,0.54,1.18,0.99725,0.088
9.8,0.77,0.5,0.99656,0.079
10.4,0.61,0.37,0.99396,0.069
9.2,0.78,1.17,0.99623,0.415
11.6,0.58,1.03,0.99476,0.153
9.2,0.78,1.17,0.99623,0.415
9.3,0.75,0.45,0.99664,0.11
9.8,0.815,0.51,0.99471,0.267
9.9,0.56,0.52,0.99586,0.083
10.0,0.885,0.46,0.9946,0.086
12.2,0.49,0.62,0.9953,0.09
9.9,0.45,0.51,0.99609,0.078
10.8,0.57,0.62,0.99557,0.077
10.8,0.57,0.62,0.99557,0.077
9.6,0.83,0.45,0.99534,0.074
9.9,0.6,0.49,0.99613,0.08
9.9,0.6,0.49,0.99613,0.08
9.5,0.755,0.5,0.99593,0.107
9.2,0.81,0.42,0.99668,0.076
9.6,0.64,0.58,0.9961,0.1
9.6,0.64,0.58,0.9961,0.1
10.3,0.64,0.68,0.99718,0.083
9.7,0.48,0.53,0.99524,0.08
12.5,0.49,0.59,0.99292,0.068
11.0,0.64,0.58,0.99612,0.094
9.8,0.62,0.48,0.9942,0.07
10.2,0.52,0.48,0.99612,0.078
9.2,0.57,0.48,0.99669,0.07
9.55,0.685,0.65,0.99745,0.092
9.55,0.675,0.65,0.99745,0.09
9.9,0.59,0.52,0.99584,0.08
10.2,0.6,0.62,0.9966,0.083
11.1,0.67,0.72,0.9956,0.068
9.9,0.69,0.51,0.9962,0.08
9.9,0.69,0.51,0.9962,0.08
11.9,0.3,0.82,0.9963,0.052
10.0,0.33,1.1,0.996,0.061
10.7,0.5,0.62,0.9985,0.082
11.3,0.28,0.9,0.9952,0.062
10.9,0.24,0.94,0.9974,0.062
10.7,0.51,0.93,0.995,0.064
12.4,0.29,1.01,0.995,0.048
10.7,0.51,0.93,0.995,0.064
11.9,0.96,0.44,0.9936,0.082
10.6,0.47,0.73,0.9963,0.071
10.9,0.24,0.94,0.9974,0.062
10.1,0.57,0.9,0.9963,0.104
9.6,0.32,0.78,0.9994,0.077
9.4,0.58,0.84,0.9966,0.065
9.6,0.32,0.78,0.9994,0.077
12.1,0.34,0.77,0.9952,0.064
9.8,0.53,0.46,0.995,0.077
9.9,0.64,0.45,0.9956,0.077
9.8,0.53,0.46,0.995,0.077
9.4,0.4,0.58,0.9965,0.079
11.4,0.54,0.84,0.9956,0.079
11.0,0.53,0.67,0.9968,0.123
9.6,0.26,0.7,0.9974,0.076
9.6,0.26,0.7,0.9974,0.076
12.1,0.23,0.71,0.9971,0.046
11.2,0.41,0.58,0.9957,0.078
11.0,0.64,0.63,0.9962,0.072
11.3,0.18,0.93,0.996,0.049
10.4,0.41,0.62,0.9956,0.066
9.9,0.43,0.54,0.9958,0.069
11.7,0.44,0.85,0.9944,0.042
10.1,0.4,0.74,0.9955,0.069
9.0,0.54,0.77,1.00369,0.214
9.0,0.54,0.77,1.00369,0.214
8.5,0.38,0.65,0.99914,0.169
11.1,0.915,0.54,0.99577,0.07
10.3,0.59,0.47,0.996,0.052
11.0666666666667,0.67,0.68,0.99566,0.072
11.3,0.37,0.73,0.9947,0.062
9.56666666666667,0.785,0.52,0.99713,0.094
9.8,0.63,0.75,0.99712,0.078
11.7,0.58,0.49,0.99322,0.058
11.1,0.67,0.68,0.99566,0.072
9.6,0.785,0.52,0.99713,0.094
9.8,0.63,0.75,0.99712,0.078
9.7,0.67,0.74,0.99701,0.08
9.7,0.58,0.73,0.99683,0.08
11.3,0.38,0.76,0.99472,0.056
11.3,0.37,0.73,0.9947,0.062
11.0,0.32,0.78,0.99732,0.104
11.6,0.58,0.76,0.99374,0.062
9.0,0.49,0.58,0.99706,0.074
10.9,0.45,0.69,0.99974,0.073
10.9,0.9,0.63,0.99467,0.052
10.55,0.54,0.5,0.99236,0.05
9.0,0.49,0.58,0.99706,0.074
10.5,0.29,0.6,0.99603,0.067
11.9,0.2,0.8,0.99458,0.054
10.4,0.42,0.68,0.99724,0.054
10.0,0.785,0.61,0.99664,0.06
10.4,0.64,0.58,0.99545,0.075
10.8,0.63,0.53,0.99522,0.076
9.7,0.59,0.67,0.9958,0.063
9.7,0.59,0.67,0.9958,0.063
10.0,0.48,0.65,0.99728,0.062
11.0,1.04,0.57,0.99648,0.067
10.0,0.48,0.65,0.99728,0.062
9.7,0.98,0.55,0.99705,0.061
9.7,0.69,0.47,0.99578,0.084
12.6,0.7,0.52,0.99334,0.067
11.1,0.35,0.79,0.99656,0.073
11.0,0.6,0.54,0.99336,0.071
8.8,0.5,0.75,1.00242,0.205
13.5666666666667,0.47,0.88,0.99182,0.048
8.8,0.5,0.75,1.00242,0.205
13.6,0.47,0.88,0.99182,0.048
10.2,0.875,0.52,0.99808,0.082
10.6,0.28,0.68,0.99828,0.104
10.1,0.62,0.62,0.99498,0.08
10.6,0.28,0.68,0.99828,0.104
10.3,0.58,0.57,0.99719,0.114
10.7,0.33,0.61,0.99542,0.042
10.9,0.91,0.64,0.99592,0.06
9.7,0.655,0.55,0.99606,0.074
10.3,0.68,0.6,0.99546,0.07
10.6,0.64,0.78,0.99496,0.066
11.4,0.54,0.58,0.9942,0.049
10.8,0.57,0.76,0.99448,0.048
12.4,0.22,0.56,0.99344,0.039
11.4,0.54,0.58,0.9942,0.049
11.95,0.65,0.54,0.99348,0.05
9.7,0.54,0.59,0.99636,0.089
10.0,0.31,0.7,0.99459,0.066
10.6,0.43,0.81,0.99492,0.08
9.7,0.54,0.59,0.99636,0.089
11.5,0.74,0.63,0.99508,0.054
10.8,0.895,0.58,0.99582,0.068
11.5,0.74,0.63,0.99508,0.054
9.6,0.725,0.53,0.99508,0.076
9.4,0.82,0.53,0.99642,0.083
9.8,0.585,0.54,0.99638,0.078
11.0,0.44,0.69,0.99555,0.077
11.4,0.38,0.55,0.99605,0.106
9.95,0.76,0.63,0.996,0.078
10.8,0.81,0.66,0.99562,0.07
11.4,0.38,0.55,0.99605,0.106
10.6,0.27,0.72,0.99814,0.074
11.1,0.18,0.7,0.9941,0.062
9.7,0.36,0.77,0.99661,0.047
9.8,0.69,0.67,0.99712,0.068
10.4,0.79,0.65,0.99588,0.061
10.5,0.56,0.6,0.99294,0.078
9.23333333333333,0.84,0.72,0.99842,0.074
9.25,0.84,0.72,0.99842,0.074
10.6,0.32,0.97,0.99633,0.071
10.3,0.53,0.83,0.99489,0.063
10.5,0.47,0.63,0.99647,0.114
10.2,0.7,0.58,0.99665,0.106
10.3,0.53,0.83,0.99489,0.063
9.05,0.48,0.43,0.99585,0.082
10.6,0.32,0.97,0.99633,0.071
10.4,0.48,0.6,0.9953,0.076
10.0,0.42,0.78,0.99522,0.075
9.7,0.48,0.64,0.99552,0.064
9.6,0.47,0.65,0.99553,0.064
10.8,0.53,0.66,0.9951,0.071
10.1,0.29,0.67,0.99714,0.096
10.2,0.69,0.6,0.99608,0.063
11.3,0.44,0.69,0.99444,0.063
10.2,0.705,0.66,0.99631,0.081
9.9,0.53,0.68,0.99573,0.058
9.0,0.39,0.61,0.99717,0.074
11.7,0.56,0.62,0.99397,0.064
9.7,0.55,0.59,0.9959,0.075
10.3,0.53,0.68,0.99528,0.077
10.2,0.58,0.64,0.99484,0.059
12.0,0.64,0.63,0.99538,0.081
9.9,0.39,0.78,0.99714,0.065
11.6,0.52,0.63,0.99646,0.071
10.9,0.25,0.76,0.99666,0.054
10.75,0.855,0.56,0.99472,0.064
10.4,0.44,0.57,0.99758,0.064
11.2,0.37,0.81,0.9955,0.063
10.1,0.63,0.64,0.99531,0.059
10.2,0.57,0.61,0.99575,0.072
12.1,0.6,0.51,0.99306,0.048
10.4,0.4,0.58,0.99783,0.099
11.4,0.36,0.7,0.99419,0.074
9.5,0.68,0.53,0.99783,0.087
9.4,0.67,0.54,0.99768,0.083
11.3,0.68,0.66,0.99586,0.103
9.4,0.735,0.6,0.99765,0.08
11.0,0.855,0.6,0.99627,0.062
10.55,0.56,0.68,0.99514,0.065
9.9,0.88,0.56,0.99636,0.066
11.0,0.855,0.6,0.99627,0.062
9.5,0.63,0.56,0.99787,0.235
9.9,0.6,0.52,0.99622,0.08
9.9,0.6,0.52,0.99622,0.08
9.9,0.6,0.52,0.99622,0.08
10.1,0.695,0.54,0.99546,0.076
10.1,0.695,0.54,0.99546,0.076
10.1,0.695,0.54,0.99546,0.076
10.9,0.67,0.82,0.99489,0.061
11.2,0.16,0.71,0.99494,0.059
10.1,0.695,0.54,0.99546,0.076
9.2,0.56,0.59,0.99629,0.077
11.5,0.51,0.57,0.99396,0.056
12.4,0.36,0.93,0.9934,0.23
11.1,0.38,0.65,0.99514,0.038
9.5,0.69,0.51,0.99632,0.069
12.5,0.58,0.67,0.99467,0.075
10.5,0.31,0.48,0.99677,0.074
11.8,0.52,0.64,0.99474,0.06
10.8,0.3,0.78,0.99588,0.081
11.9,0.7,0.6,0.99622,0.076
11.3,0.67,0.67,0.9954,0.118
11.3,0.56,0.6,0.99402,0.053
11.9,0.35,0.6,0.9947,0.068
11.3,0.56,0.6,0.99402,0.053
11.9,0.715,0.5,0.99362,0.053
9.8,0.46,0.62,0.99578,0.074
11.6,0.32,0.8,0.99484,0.061
11.5,0.39,0.84,0.99494,0.066
11.4,0.31,0.85,0.99492,0.065
10.9,0.61,0.66,0.99483,0.066
12.8,0.66,0.78,0.99414,0.068
9.2,0.725,0.54,0.9977,0.073
11.6,0.55,0.82,0.99314,0.077
11.6,0.74,0.56,0.99402,0.089
11.0,0.51,0.75,0.99574,0.076
9.5,0.62,0.82,0.99651,0.068
10.5,0.6,0.58,0.9949,0.09
11.2,0.55,0.76,0.99512,0.062
11.0,0.51,0.75,0.99574,0.076
10.2,0.645,0.71,0.99547,0.075
11.0,0.31,0.66,0.99549,0.067
